experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.429959,1.163959,1.223541,0.510819,1957.638785,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.402167,1.177667,1.314750,0.457746,2184.618306,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.666958,1.713000,1.788500,0.780340,1281.492190,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.538459,1.197125,1.241792,0.620956,1610.420926,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.528042,1.094375,1.183916,0.568212,1759.905172,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.052166,1.796292,1.821292,1.153147,867.192002,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.896916,1.666833,1.710666,0.965513,1035.719336,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.485708,3.194667,3.416167,2.609267,383.249464,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.560083,3.034041,3.131708,2.635100,379.492239,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,5.606625,6.184667,6.270542,5.573001,179.436522,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.559334,4.476500,5.967083,3.616119,276.539536,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.482625,12.267291,12.309250,11.519390,86.810151,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.646042,13.152584,13.548125,12.646047,79.076092,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,24.467541,25.307417,27.207542,24.624737,40.609570,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.656292,13.203291,13.277500,12.617190,79.256948,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.974709,24.752000,25.260250,23.782350,42.047989,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,24.651708,25.573583,25.606750,24.640950,40.582851,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,48.186959,48.719750,50.148958,47.939904,20.859449,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,24.485375,25.116042,25.309333,24.406501,40.972689,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.086750,1.492666,1.575917,1.230444,812.714540,3.174666
file,read,rpc,,4096,65536,,30,30,0,83.171958,85.775917,86.556875,83.320690,12.001821,0.046882
file,write,rpc,,65536,65536,,30,30,0,1.269833,1.691250,1.701500,1.360181,735.196488,45.949780
file,read,rpc,,65536,65536,,30,30,0,185.498625,192.741667,192.941667,185.448193,5.392342,0.337021
file,write,rpc,,1048576,65536,,30,30,0,8.829541,9.381208,9.867500,8.938914,111.870415,111.870415
file,read,rpc,,1048576,65536,,30,30,0,1498.014208,1592.643709,1616.565250,1513.085014,0.660901,0.660901
file,write,rpc,,4096,1048576,,30,30,0,1.139125,1.494917,1.916500,1.254817,796.929103,3.113004
file,read,rpc,,4096,1048576,,30,30,0,84.137042,92.227417,99.609667,84.728756,11.802369,0.046103
file,write,rpc,,65536,1048576,,30,30,0,1.342000,1.631083,1.665792,1.361956,734.238344,45.889897
file,read,rpc,,65536,1048576,,30,30,0,229.708584,247.142750,250.073000,229.078282,4.365320,0.272832
file,write,rpc,,1048576,1048576,,30,30,0,5.405417,5.798167,6.162958,5.348364,186.973067,186.973067
file,read,rpc,,1048576,1048576,,30,30,0,802.946250,1071.273375,1238.611875,849.134660,1.177670,1.177670
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.214875,2.931208,3.055083,2.270376,438.963366,1.714701
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.450083,5.000500,8.791458,3.662905,523.162469,2.043603
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.993166,11.385500,12.849666,7.938078,457.059488,1.785389
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,18.140834,30.457458,33.703708,18.946233,373.860942,1.460394
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,46.820167,80.396125,104.838625,48.426315,284.901567,1.112897
